"Number","Valid from","Latitude [°]","Longitude [°]","Altitude [m]","Slope [°]","Orientation [°]","Locationclass","Surrounding area"
102,2007-01-01 00:00:00,46.90607259520423,15.820107397608092,330.00,18.000,250.00,"upper slope","untilled area"
103,2007-01-01 00:00:00,46.90814279197507,15.8348254193356,369.00,10.000,30.000,"upper slope","partially tilled area"
104,2007-01-01 00:00:00,46.90583364568879,15.853643009410565,310.00,10.000,120.00,"at the base of the slope","untilled area"
105,2007-01-01 00:00:00,46.90999397136856,15.87492988056631,400.00,8.0000,90.000,"upper slope","untilled area"
106,2007-01-01 00:00:00,46.9095645965198,15.891427786762986,374.00,12.000,170.00,"upper slope","partially tilled area"
107,2007-01-01 00:00:00,46.90518560042603,15.90782591647253,389.00,17.000,140.00,"at the base of the slope","untilled area"
108,2007-01-01 00:00:00,46.90477641013942,15.927683396857597,340.00,4.0000,290.00,"lower slope","partially tilled area"
109,2007-01-01 00:00:00,46.906086807520836,15.94605075630641,316.00,10.000,120.00,"at the base of the slope","untilled area"
110,2007-01-01 00:00:00,46.90767715618954,15.96071873754541,326.00,4.0000,180.00,"lower slope","partially tilled area"
111,2007-01-01 00:00:00,46.90795789424645,15.983275690553862,343.00,16.000,180.00,"upper slope","untilled area"
112,2007-01-01 00:00:00,46.90555879538366,16.00126337745078,345.00,30.000,80.000,"lower slope","untilled area"
112,2022-06-03 00:00:00,46.9052280000000,16.0012490000000,350.00,40.000,160.00,"lower slope","tilled area"
113,2007-01-01 00:00:00,46.904849404823864,16.016781484922532,312.00,3.0000,90.000,"lower slope","untilled area"
114,2007-01-01 00:00:00,46.90596009957467,16.04087807337469,366.00,3.0000,320.00,"upper slope","untilled area"
115,2007-01-01 00:00:00,46.894432587364946,15.780883494331269,300.00,0.0000,,"located in the valley","partially tilled area"
116,2007-01-01 00:00:00,46.89215348962857,15.797941446201083,305.00,10.000,80.000,"at the base of the slope","partially tilled area"
117,2007-01-01 00:00:00,46.89150412367368,15.81761890660866,305.00,14.000,250.00,"lower slope","untilled area"
118,2007-01-01 00:00:00,46.89718402673866,15.83336636648949,381.00,8.0000,240.00,"upper slope","untilled area"
119,2007-01-01 00:00:00,46.89439505679077,15.855893641106064,327.00,24.000,80.000,"middle slope","untilled area"
120,2007-01-01 00:00:00,46.89453554604573,15.870451668863904,366.00,14.000,260.00,"lower slope","untilled area"
121,2007-01-01 00:00:00,46.89045666764046,15.888059677016235,299.00,2.0000,,"located in the valley","untilled area"
122,2007-01-01 00:00:00,46.890207587743404,15.912476360600056,520.00,20.000,140.00,"upper slope","untilled area"
122,2018-06-20 19:00:00,46.8902075877000,15.9124763606000,520.00,20.000,140.00,"upper slope","untilled area"
123,2007-01-01 00:00:00,46.89386774003141,15.93065375407161,429.00,3.0000,90.000,"middle slope","partially tilled area"
124,2007-01-01 00:00:00,46.896257845993496,15.94190198954166,355.00,10.000,140.00,"middle slope","untilled area"
125,2007-01-01 00:00:00,46.89327917993009,15.97040838187015,342.00,12.000,270.00,"lower slope","untilled area"
126,2007-01-01 00:00:00,46.89264985746859,15.98765617652932,355.00,28.000,200.00,"middle slope","untilled area"
127,2007-01-01 00:00:00,46.89199042790464,16.00307426528966,328.00,0.0000,,"lower slope","partially tilled area"
127,2007-10-03 18:59:00,46.89262037704104,16.00276412980191,310.00,16.000,20.000,"lower slope","untilled area"
127,2025-07-18 00:00:00,46.8919800000000,16.0029400000000,326.00,1.0000,200.00,"middle slope","partially tilled area"
128,2007-01-01 00:00:00,46.8914210197074,16.01718242586653,305.00,0.0000,,"located in the valley","untilled area"
129,2007-01-01 00:00:00,46.878764979765364,15.795662662808278,332.00,5.0000,0.0000,"middle slope","untilled area"
130,2007-01-01 00:00:00,46.879765589760204,15.81958950663376,277.00,0.0000,,"located in the valley","untilled area"
130,2019-07-08 00:00:00,46.8797655898000,15.8195895066000,278.00,0.0000,0.0000,"located in the valley","untilled area"
131,2007-01-01 00:00:00,46.87979608449087,15.833017683588675,340.00,10.000,240.00,"middle slope","untilled area"
131,2008-06-02 11:59:00,46.88088594124452,15.831967800176074,350.00,,,"middle slope","untilled area"
132,2007-01-01 00:00:00,46.8790150000000,15.8521490000000,295.00,0.0000,,"located in the valley","untilled area"
133,2007-01-01 00:00:00,46.88217712589211,15.872342259881838,338.00,7.0000,210.00,"middle slope","untilled area"
134,2007-01-01 00:00:00,46.87868808421846,15.887750377306665,316.00,10.000,190.00,"hilltop","untilled area"
